,missing_count,missing_pct
sales_count_lag12,84,0.19047619047619047
Consents_lag12,84,0.19047619047619047
unemployment_rate_lag12,84,0.19047619047619047
CGPI_Dwelling_lag12,84,0.19047619047619047
RealMortgageRate_lag12,84,0.19047619047619047
OCR_lag12,84,0.19047619047619047
sales_count_lag9,63,0.14285714285714285
Consents_lag9,63,0.14285714285714285
CGPI_Dwelling_lag9,63,0.14285714285714285
RealMortgageRate_lag9,63,0.14285714285714285
unemployment_rate_lag9,63,0.14285714285714285
OCR_lag9,63,0.14285714285714285
RealMortgageRate_lag6,42,0.09523809523809523
Consents_lag6,42,0.09523809523809523
CGPI_Dwelling_lag6,42,0.09523809523809523
sales_count_lag6,42,0.09523809523809523
unemployment_rate_lag6,42,0.09523809523809523
OCR_lag6,42,0.09523809523809523
RealMortgageRate_lag3,21,0.047619047619047616
unemployment_rate_lag3,21,0.047619047619047616
CGPI_Dwelling_lag3,21,0.047619047619047616
Consents_lag3,21,0.047619047619047616
sales_count_lag3,21,0.047619047619047616
OCR_lag3,21,0.047619047619047616
sales_count_lag1,7,0.015873015873015872
unemployment_rate_lag1,7,0.015873015873015872
OCR_lag1,7,0.015873015873015872
RealMortgageRate_lag1,7,0.015873015873015872
Consents_lag1,7,0.015873015873015872
CGPI_Dwelling_lag1,7,0.015873015873015872
District,0,0.0
sales_count,0,0.0
Month,0,0.0
Median_Price,0,0.0
Consents,0,0.0
OCR,0,0.0
CGPI_Dwelling,0,0.0
unemployment_rate,0,0.0
weeklyrent,0,0.0
Net_migration_monthly,0,0.0
RealMortgageRate,0,0.0
